ní ìbẹ̀rẹ̀ ohun gbogbo ọlọ́run dá àwọn ọ̀run àti ayé .	ní ìbẹ̀rẹ̀ ohun gbogbo ọlọ́run dá àwọn ọ̀run àti ayé .	ADP N PRO DET N V DET N CONJ N _
òun ni asọ́nà yóò ṣílẹ̀kùn fún ; àwọn àgùntàn gbọ́ ohùn rẹ̀ : ó sì pe àwọn àgùntàn tirẹ̀ lórúkọ , ó sì se amọ̀nà wọn jáde .	òun ni asọ́nà yóò ṣílẹ̀kùn fún ; àwọn àgùntàn gbọ́ ohùn rẹ̀ : ó sì pe àwọn àgùntàn tirẹ̀ lórúkọ , ó sì se amọ̀nà wọn jáde .	3;GEN;PRO;SG V N V V ADP _ DET N V N 3;GEN;PRO;SG _ 3;NOM;PRO;SG CONJ V DET N ADJ N _ 3;NOM;PRO;SG CONJ V N 3;ACC;PL;PRO N _
ṣùgbọ́n bí ẹnìkan bá rìn ní òru , yóò kọsẹ̀ , nítorí tí kò sí ìmọ́lẹ̀ nínú rẹ̀ . ”	ṣùgbọ́n bí ẹnìkan bá rìn ní òru , yóò kọsẹ̀ , nítorí tí kò sí ìmọ́lẹ̀ nínú rẹ̀ . ”	CONJ CONJ ADJ CONJ V ADP N _ ADV V _ CONJ PRO PART V N ADP 3;GEN;PRO;SG _ _
ṣùgbọ́n ẹni tí ó bá ti ẹnu - ọ̀nà wọlé , òun ni olùṣọ́ àwọn àgùntàn .	ṣùgbọ́n ẹni tí ó bá ti ẹnu - ọ̀nà wọlé , òun ni olùṣọ́ àwọn àgùntàn .	CONJ PRO PRO 3;NOM;PRO;SG V V N _ N V _ 3;GEN;PRO;SG V N DET N _
èmi sì ti mọ̀ pé , ìwọ a máa gbọ́ ti èmi nígbà gbogbo : ṣùgbọ́n nítorí ìjọ ènìyàn tí ó dúró yìí ni mo ṣe wí i , kí wọn baà lè gbàgbọ́ pé ìwọ ni ó rán mi . ”	èmi sì ti mọ̀ pé , ìwọ a máa gbọ́ ti èmi nígbà gbogbo : ṣùgbọ́n nítorí ìjọ ènìyàn tí ó dúró yìí ni mo ṣe wí i , kí wọn baà lè gbàgbọ́ pé ìwọ ni ó rán mi . ”	1;NOM;PRO;SG CONJ V V CONJ _ 2;NOM;PRO;SG 1;NOM;PL;PRO V V PRO 1;ACC;PRO;SG ADV DET _ CONJ CONJ N N PRO 3;NOM;PRO;SG V DET V 1;NOM;PRO;SG V V 3;ACC;PRO;SG _ CONJ 3;NOM;PL;PRO V V V CONJ 2;NOM;PRO;SG V 3;NOM;PRO;SG V 1;ACC;PRO;SG _ _
nígbà náà ni wọ́n gbé òkúta náà kúrò ( níbi tí a tẹ́ ẹ sí ) . jésù sì gbé ojú rẹ̀ sókè , ó sì wí pé , “ baba , mo dúpẹ́ lọ́wọ́ rẹ nítorí tí ìwọ gbọ́ tèmi .	nígbà náà ni wọ́n gbé òkúta náà kúrò ( níbi tí a tẹ́ ẹ sí ) . jésù sì gbé ojú rẹ̀ sókè , ó sì wí pé , “ baba , mo dúpẹ́ lọ́wọ́ rẹ nítorí tí ìwọ gbọ́ tèmi .	ADV ADV V 3;NOM;PL;PRO V N DET ADP _ ADV PRO 1;NOM;PL;PRO V V ADP _ _ PROPN CONJ V N 3;GEN;PRO;SG ADP _ 3;NOM;PRO;SG CONJ V CONJ _ _ N _ V V ADP 2;GEN;PRO;SG CONJ PRO 2;NOM;PRO;SG V 1;GEN;PRO;SG _
nígbà tí ó gbọ́ , ó dìde lọ́gán , ó sì wá sọ́dọ̀ rẹ̀ .	nígbà tí ó gbọ́ , ó dìde lọ́gán , ó sì wá sọ́dọ̀ rẹ̀ .	ADV PRO 3;NOM;PRO;SG V _ 3;NOM;PRO;SG V ADV _ 3;NOM;PRO;SG CONJ V ADP 3;GEN;PRO;SG _
ọlọ́run sì pe òfúurufú ní “ ọ̀run , ” àsálẹ́ àti òwúrọ̀ sì jẹ́ ọjọ́ kejì .	ọlọ́run sì pe òfúurufú ní “ ọ̀run , ” àsálẹ́ àti òwúrọ̀ sì jẹ́ ọjọ́ kejì .	N CONJ V N ADP _ N _ _ N CONJ N V V N ADJ _
ó sì wí pé , “ níbo ni ẹ̀yin gbé tẹ́ ẹ sí ? ” wọ́n sì wí fún un pé , “ olúwa , wá wò ó . ”	ó sì wí pé , “ níbo ni ẹ̀yin gbé tẹ́ ẹ sí ? ” wọ́n sì wí fún un pé , “ olúwa , wá wò ó . ”	3;NOM;PRO;SG CONJ V CONJ _ _ ADV V 2;NOM;PL;PRO V V 2;ACC;PL;PRO ADP _ _ V CONJ V ADP 3;GEN;PRO;SG CONJ _ _ PROPN _ PRO V 3;NOM;PRO;SG _ _
nítorí náà àwọn júù wí pé , “ sá wò ó bí ó ti fẹ́ràn rẹ̀ tó ! ”	nítorí náà àwọn júù wí pé , “ sá wò ó bí ó ti fẹ́ràn rẹ̀ tó ! ”	ADV ADV DET PROPN V CONJ _ _ ADV V 3;NOM;PRO;SG CONJ 3;NOM;PRO;SG V V 3;GEN;PRO;SG CONJ _ _
nítorí náà àwọn ọmọ - ẹ̀yìn rẹ̀ wí fún un pé , “ olúwa , bí ó bá se pé ó sùn , yóò sàn . ”	nítorí náà àwọn ọmọ - ẹ̀yìn rẹ̀ wí fún un pé , “ olúwa , bí ó bá se pé ó sùn , yóò sàn . ”	CONJ ADV DET N _ N 3;GEN;PRO;SG V ADP 3;GEN;PRO;SG CONJ _ _ PROPN _ CONJ 3;NOM;PRO;SG CONJ V CONJ 3;NOM;PRO;SG V _ V V _ _
ǹjẹ́ bẹ́tẹ́nì súnmọ́ jérúsálẹ́mù tó ibùsọ mẹ́ẹ̀dógún :	ǹjẹ́ bẹ́tẹ́nì súnmọ́ jérúsálẹ́mù tó ibùsọ mẹ́ẹ̀dógún :	V PROPN ADV PROPN CONJ N NUM _
àwọn ènìyàn púpọ̀ níbẹ̀ sì gbàágbọ́ .	àwọn ènìyàn púpọ̀ níbẹ̀ sì gbàágbọ́ .	DET N ADJ ADV CONJ V _
“ èmi ni olùṣọ́ àgùntàn rere : olùṣọ́ - àgùntàn rere fi ọkàn rẹ̀ lélẹ̀ nítorí àwọn àgùntàn .	“ èmi ni olùṣọ́ àgùntàn rere : olùṣọ́ - àgùntàn rere fi ọkàn rẹ̀ lélẹ̀ nítorí àwọn àgùntàn .	_ 1;NOM;PRO;SG V N N ADJ _ N _ N ADJ V N 3;GEN;PRO;SG V CONJ DET N _
ó wí fún un pé , “ bẹ́ẹ̀ ni , olúwa : èmi gbàgbọ́ pé , ìwọ ni kírísítì náà ọmọ ọlọ́run , ẹni tí ń bọ̀ wá sí ayé . ”	ó wí fún un pé , “ bẹ́ẹ̀ ni , olúwa : èmi gbàgbọ́ pé , ìwọ ni kírísítì náà ọmọ ọlọ́run , ẹni tí ń bọ̀ wá sí ayé . ”	3;NOM;PRO;SG V ADP 3;GEN;PRO;SG CONJ _ _ ADV V _ PROPN _ 1;NOM;PRO;SG V CONJ _ 2;NOM;PRO;SG V PROPN DET N N _ PRO PRO V V V ADP N _ _
jésù wí pé , “ ẹ gbé òkúta náà kúrò ! ” màtá , arábìnrin ẹni tí ó kú náà wí fún un pé , “ olúwa , ó ti ń rùn nísinsin yìí : nítorí pé ó di ijọ́ kẹrin tí ó tí kú . ”	jésù wí pé , “ ẹ gbé òkúta náà kúrò ! ” màtá , arábìnrin ẹni tí ó kú náà wí fún un pé , “ olúwa , ó ti ń rùn nísinsin yìí : nítorí pé ó di ijọ́ kẹrin tí ó tí kú . ”	PROPN V CONJ _ _ V V N DET ADP _ _ PROPN _ N PRO PRO 3;NOM;PRO;SG V ADV V ADP 3;GEN;PRO;SG CONJ _ _ PROPN _ 3;NOM;PRO;SG V V V ADV DET _ CONJ CONJ 3;NOM;PRO;SG V N ADJ PRO 3;NOM;PRO;SG PRO V _ _
àwọn kan nínú wọn sì wí pé , “ ọkùnrin yìí , ẹni tí ó la ojú afọ́jú , kò lè ṣeé kí ọkùnrin yìí má kú bí ? ”	àwọn kan nínú wọn sì wí pé , “ ọkùnrin yìí , ẹni tí ó la ojú afọ́jú , kò lè ṣeé kí ọkùnrin yìí má kú bí ? ”	PRO NUM ADP 3;NOM;PL;PRO CONJ V CONJ _ _ N DET _ PRO PRO 3;NOM;PRO;SG V N ADJ _ PART V V CONJ N DET V V CONJ _ _
nǹkan wọ̀nyí ni ó sọ : lẹ́yìn èyí nì ó sì wí fún wọn pé , “ lásárù ọ̀rẹ́ wa sùn ; ṣùgbọ́n èmi ń lọ kí èmi kí ó lè jí i dìde nínú orun rẹ̀ . ”	nǹkan wọ̀nyí ni ó sọ : lẹ́yìn èyí nì ó sì wí fún wọn pé , “ lásárù ọ̀rẹ́ wa sùn ; ṣùgbọ́n èmi ń lọ kí èmi kí ó lè jí i dìde nínú orun rẹ̀ . ”	N DET V 3;NOM;PRO;SG V _ ADP PRO V 3;NOM;PRO;SG CONJ V ADP 3;ACC;PL;PRO CONJ _ _ PROPN N 1;ACC;PL;PRO V _ CONJ 1;NOM;PRO;SG V V CONJ 1;NOM;PRO;SG CONJ 3;NOM;PRO;SG V V 3;ACC;PRO;SG V ADP V 3;GEN;PRO;SG _ _
ọlọ́run rí i pé ìmọ́lẹ̀ náà dára , ó sì ya ìmọ́lẹ̀ náà sọ́tọ̀ kúrò lára òkùnkùn .	ọlọ́run rí i pé ìmọ́lẹ̀ náà dára , ó sì ya ìmọ́lẹ̀ náà sọ́tọ̀ kúrò lára òkùnkùn .	N V 3;ACC;PRO;SG CONJ N ADJ ADJ _ 3;NOM;PRO;SG CONJ V N ADV ADV ADP ADP N _
nígbà náà ni jésù wí fún wọn gbangba pé , lásárù kú ,	nígbà náà ni jésù wí fún wọn gbangba pé , lásárù kú ,	CONJ ADV V PROPN V ADP 3;ACC;PL;PRO ADV CONJ _ PROPN V _
olè kìí wá bí kò ṣe láti jalè , láti pa , àti láti parun : èmi wá kí wọn lè ní ìyè , àní kí wọn lè ní i lọ́pọ̀lọpọ̀ .	olè kìí wá bí kò ṣe láti jalè , láti pa , àti láti parun : èmi wá kí wọn lè ní ìyè , àní kí wọn lè ní i lọ́pọ̀lọpọ̀ .	N PART V CONJ PART V ADP V _ ADP V _ CONJ ADP V _ 1;NOM;PRO;SG V CONJ 3;NOM;PL;PRO V V N _ ADV CONJ 3;NOM;PL;PRO V V 3;ACC;PRO;SG ADV _
nítorí náà ọlọ́run dá àwọn ẹ̀dá alààyè ńlá - ńlá sí inú òkun , àwọn ohun ẹlẹ́mìí àti àwọn ohun tí ń rìn ní onírúurú tiwọn , àti àwọn ẹyẹ abìyẹ́ ní onírúurú tiwọn . ọlọ́run sì rí i pé ó dára .	nítorí náà ọlọ́run dá àwọn ẹ̀dá alààyè ńlá - ńlá sí inú òkun , àwọn ohun ẹlẹ́mìí àti àwọn ohun tí ń rìn ní onírúurú tiwọn , àti àwọn ẹyẹ abìyẹ́ ní onírúurú tiwọn . ọlọ́run sì rí i pé ó dára .	CONJ ADV N V DET N N ADJ _ ADJ ADP ADP N _ PRO PRO N CONJ DET PRO PRO V V ADP ADV 3;GEN;PL;PRO _ CONJ DET N N ADP ADV 3;GEN;PL;PRO _ N CONJ V 3;ACC;PRO;SG CONJ 3;NOM;PRO;SG ADJ _
wọn kò jẹ́ tọ àlejò lẹ́yìn , ṣùgbọ́n wọn a sá kúrò lọ́dọ̀ rẹ̀ : nítorí tí wọn kò mọ ohùn àlejò . ”	wọn kò jẹ́ tọ àlejò lẹ́yìn , ṣùgbọ́n wọn a sá kúrò lọ́dọ̀ rẹ̀ : nítorí tí wọn kò mọ ohùn àlejò . ”	3;NOM;PL;PRO PART V ADP N ADP _ CONJ 3;NOM;PL;PRO 1;NOM;PL;PRO V ADP ADP 3;GEN;PRO;SG _ CONJ PRO 3;NOM;PL;PRO PART V N N _ _
ṣùgbọ́n ẹ̀yin kò gbàgbọ́ , nítorí ẹ̀yin kò sí nínú àwọn àgùntàn mi , gẹ́gẹ́ bí mo tí wí fún yín .	ṣùgbọ́n ẹ̀yin kò gbàgbọ́ , nítorí ẹ̀yin kò sí nínú àwọn àgùntàn mi , gẹ́gẹ́ bí mo tí wí fún yín .	CONJ 2;NOM;PL;PRO PART V _ CONJ 2;NOM;PL;PRO PART V ADP DET N 1;ACC;PRO;SG _ ADV CONJ V PRO V ADP 2;GEN;PL;PRO _
bí èmi kò bá ṣe iṣẹ́ baba mi , ẹ má ṣe gbà mí gbọ́ .	bí èmi kò bá ṣe iṣẹ́ baba mi , ẹ má ṣe gbà mí gbọ́ .	CONJ 1;NOM;PRO;SG PART CONJ V N N 1;ACC;PRO;SG _ V V V V 1;ACC;PRO;SG V _
ṣùgbọ́n jésù ń sọ ti ikú rẹ̀ : ṣùgbọ́n wọ́n rò pé , ó ń sọ ti orun sísùn .	ṣùgbọ́n jésù ń sọ ti ikú rẹ̀ : ṣùgbọ́n wọ́n rò pé , ó ń sọ ti orun sísùn .	CONJ PROPN V V ADP N 3;GEN;PRO;SG _ CONJ 3;NOM;PL;PRO V CONJ _ 3;NOM;PRO;SG V V ADP N N _
nítorí náà ni ọ̀pọ̀ àwọn júù tí ó wá sọ́dọ̀ màríà , tí wọ́n rí ohun tí jésù ṣe , ṣe gbà á gbọ́ .	nítorí náà ni ọ̀pọ̀ àwọn júù tí ó wá sọ́dọ̀ màríà , tí wọ́n rí ohun tí jésù ṣe , ṣe gbà á gbọ́ .	ADV ADV V ADJ DET PROPN PRO 3;NOM;PRO;SG V ADP PROPN _ PRO V V N PRO PROPN V _ V V 3;GEN;PRO;SG V _
èmi sì ní àwọn àgùntàn mìíràn , tí kìí ṣe agbo yìí : àwọn ni èmi yóò mú wá pẹ̀lú , wọn ó sì gbọ́ ohùn mi ; wọn ó sì jẹ́ agbo kan , olùsọ́ - àgùntàn kan .	èmi sì ní àwọn àgùntàn mìíràn , tí kìí ṣe agbo yìí : àwọn ni èmi yóò mú wá pẹ̀lú , wọn ó sì gbọ́ ohùn mi ; wọn ó sì jẹ́ agbo kan , olùsọ́ - àgùntàn kan .	1;NOM;PRO;SG CONJ V DET N ADJ _ PRO PART V N DET _ PRO V 1;NOM;PRO;SG V V V ADP _ 3;NOM;PL;PRO 3;NOM;PRO;SG CONJ V N 1;ACC;PRO;SG _ 3;NOM;PL;PRO 3;NOM;PRO;SG CONJ V N NUM _ N _ N NUM _
jésù dá wọn lóhùn pé , “ èmi ti wí fún yín , ẹ̀yin kò sì gbàgbọ́ ; iṣẹ́ tí èmi ń ṣe lórúkọ baba mi , àwọn ni ó ń jẹ́rìí mi .	jésù dá wọn lóhùn pé , “ èmi ti wí fún yín , ẹ̀yin kò sì gbàgbọ́ ; iṣẹ́ tí èmi ń ṣe lórúkọ baba mi , àwọn ni ó ń jẹ́rìí mi .	PROPN V 3;ACC;PL;PRO V CONJ _ _ 1;NOM;PRO;SG V V ADP 2;GEN;PL;PRO _ 2;NOM;PL;PRO PART CONJ V _ N PRO 1;NOM;PRO;SG V V N N 1;ACC;PRO;SG _ PRO V 3;NOM;PRO;SG V V 1;ACC;PRO;SG _
nítorí náà àwọn júù wá dúró yí i ká , wọ́n sì wí fún un pé , “ ìwọ ó ti mú wa ṣe iyèméjì pẹ́ tó ? bí ìwọ bá ni kírísítì náà , wí fún wa gbangba . ”	nítorí náà àwọn júù wá dúró yí i ká , wọ́n sì wí fún un pé , “ ìwọ ó ti mú wa ṣe iyèméjì pẹ́ tó ? bí ìwọ bá ni kírísítì náà , wí fún wa gbangba . ”	CONJ ADV DET PROPN V V V 3;ACC;PRO;SG ADV _ N CONJ V ADP 3;GEN;PRO;SG CONJ _ _ 2;NOM;PRO;SG 3;NOM;PRO;SG V V 1;ACC;PL;PRO V V ADP ADV _ CONJ 2;NOM;PRO;SG CONJ V PROPN DET _ V ADP 1;ACC;PL;PRO ADV _ _
ọ̀kan ni èmi àti baba mi . ”	ọ̀kan ni èmi àti baba mi . ”	NUM V 1;ACC;PRO;SG CONJ N 1;ACC;PRO;SG _ _
ọlọ́run sì pe ilẹ̀ gbígbẹ náà ní “ ilẹ̀ ” àti àpapọ̀ omi ní “ òkun : ” ọlórun sì rí i wí pé ó dára .	ọlọ́run sì pe ilẹ̀ gbígbẹ náà ní “ ilẹ̀ ” àti àpapọ̀ omi ní “ òkun : ” ọlórun sì rí i wí pé ó dára .	N CONJ V N ADJ ADJ ADP _ N _ CONJ ADV N ADP _ N _ _ N CONJ V 3;ACC;PRO;SG V CONJ 3;NOM;PRO;SG ADJ _
ọlọ́run sì wí pé , “ kí ilẹ̀ kí ó mú ohun alààyè jáde ní onírúurú wọn : ẹran ọ̀sìn , à wọn ohun afàyàfà àti àwọn ẹran inú igbó , ọ̀kọ̀ọ̀kan ní irú tirẹ̀ . ” ó sì rí bẹ́ẹ̀ .	ọlọ́run sì wí pé , “ kí ilẹ̀ kí ó mú ohun alààyè jáde ní onírúurú wọn : ẹran ọ̀sìn , à wọn ohun afàyàfà àti àwọn ẹran inú igbó , ọ̀kọ̀ọ̀kan ní irú tirẹ̀ . ” ó sì rí bẹ́ẹ̀ .	N CONJ V CONJ _ _ V N V 3;NOM;PRO;SG V PRO N ADP ADP ADV 3;ACC;PL;PRO _ N N _ CONJ 3;ACC;PL;PRO PRO N CONJ DET N ADP N _ ADJ ADP ADJ 3;GEN;PRO;SG _ _ 3;NOM;PRO;SG CONJ V ADV _
wọ́n sì tún ń wá ọ̀nà láti mú un : ó sì bọ́ lọ́wọ́ wọn .	wọ́n sì tún ń wá ọ̀nà láti mú un : ó sì bọ́ lọ́wọ́ wọn .	V CONJ ADV V V N ADP V 3;GEN;PRO;SG _ 3;NOM;PRO;SG CONJ V ADP 3;ACC;PL;PRO _
jésù dá wọn lóhùn pé , “ ọ̀pọ̀lọpọ̀ iṣẹ́ rere ni mo fi hàn yín láti ọ̀dọ̀ baba mi wá ; nítorí èwo nínú iṣẹ́ wọ̀nyí ni ẹ̀yin ṣe sọ mí ní òkúta ? ”	jésù dá wọn lóhùn pé , “ ọ̀pọ̀lọpọ̀ iṣẹ́ rere ni mo fi hàn yín láti ọ̀dọ̀ baba mi wá ; nítorí èwo nínú iṣẹ́ wọ̀nyí ni ẹ̀yin ṣe sọ mí ní òkúta ? ”	PROPN V 3;ACC;PL;PRO V CONJ _ _ ADJ N ADJ V PART V V 2;GEN;PL;PRO ADP ADP N 1;ACC;PRO;SG V _ CONJ PRO ADP N DET V 2;NOM;PL;PRO V V 1;ACC;PRO;SG ADP N _ _
ọlọ́run súre fún wọn , ó sì wí pé , “ ẹ máa bí sí i , ẹ sì máa pọ̀ sí i , ẹ kún inú omi òkun , kí àwọn ẹyẹ náà sì máa pọ̀ sí i ní orí ilẹ̀ . ”	ọlọ́run súre fún wọn , ó sì wí pé , “ ẹ máa bí sí i , ẹ sì máa pọ̀ sí i , ẹ kún inú omi òkun , kí àwọn ẹyẹ náà sì máa pọ̀ sí i ní orí ilẹ̀ . ”	N V ADP 3;ACC;PL;PRO _ 3;NOM;PRO;SG CONJ V CONJ _ _ V V V ADP 3;ACC;PRO;SG _ V CONJ V V ADP 3;ACC;PRO;SG _ V V ADP N N _ CONJ DET N ADV CONJ V V ADP 3;ACC;PRO;SG ADP N N _ _
jésù wí fún un pé , “ èmi kò ti wí fún ọ pé , bí ìwọ bá gbàgbọ́ , ìwọ ó rí ògo ọlọ́run ? ”	jésù wí fún un pé , “ èmi kò ti wí fún ọ pé , bí ìwọ bá gbàgbọ́ , ìwọ ó rí ògo ọlọ́run ? ”	PROPN V ADP 3;GEN;PRO;SG CONJ _ _ 1;NOM;PRO;SG PART V V ADP 2;ACC;PRO;SG CONJ _ CONJ 2;NOM;PRO;SG CONJ V _ 2;NOM;PRO;SG V V N N _ _
àsálẹ́ àti òwúrọ jẹ́ ọjọ́ kẹrin .	àsálẹ́ àti òwúrọ jẹ́ ọjọ́ kẹrin .	N CONJ N V N ADJ _
jésù kò tíì wọ ìlú , ṣùgbọ́n ó wà ní ibi kan náà tí mátà ti pàdé rẹ̀ .	jésù kò tíì wọ ìlú , ṣùgbọ́n ó wà ní ibi kan náà tí mátà ti pàdé rẹ̀ .	PROPN PART V V N _ CONJ 3;NOM;PRO;SG V ADP N NUM DET PRO PROPN V V 3;GEN;PRO;SG _
òwe yìí ni jésù pa fún wọn : ṣùgbọ́n òye ohun tí nǹkan wọ̀nyí jẹ́ tí ó ń sọ fún wọn kò yé wọn .	òwe yìí ni jésù pa fún wọn : ṣùgbọ́n òye ohun tí nǹkan wọ̀nyí jẹ́ tí ó ń sọ fún wọn kò yé wọn .	N DET V PROPN V ADP 3;ACC;PL;PRO _ CONJ N PRO PRO N CONJ V PRO 3;NOM;PRO;SG V V ADP 3;ACC;PL;PRO PART V 3;ACC;PL;PRO _
ṣùgbọ́n àwọn ẹlòmíràn nínú wọn tọ àwọn farisí lọ , wọ́n sì sọ fún wọn ohun tí jésù ṣe .	ṣùgbọ́n àwọn ẹlòmíràn nínú wọn tọ àwọn farisí lọ , wọ́n sì sọ fún wọn ohun tí jésù ṣe .	CONJ DET ADJ ADP 3;NOM;PL;PRO V DET PROPN V _ V CONJ V ADP 3;ACC;PL;PRO N PRO PROPN V _
òun sá lọ nítorí tí ó jẹ́ alágbàṣe , kò sì náání àwọn àgùntàn .	òun sá lọ nítorí tí ó jẹ́ alágbàṣe , kò sì náání àwọn àgùntàn .	3;GEN;PRO;SG V V CONJ PRO 3;NOM;PRO;SG V N _ PART CONJ V DET N _
“ nítorí náà tómásì , ẹni tí à ń pè ní dídímù , wí fún àwọn ọmọ - ẹ̀yìn ẹgbẹ́ rẹ̀ pé , ẹ jẹ́ kí àwa náà lọ , kí a lè bá a kú pẹ̀lú . ”	“ nítorí náà tómásì , ẹni tí à ń pè ní dídímù , wí fún àwọn ọmọ - ẹ̀yìn ẹgbẹ́ rẹ̀ pé , ẹ jẹ́ kí àwa náà lọ , kí a lè bá a kú pẹ̀lú . ”	_ CONJ ADV PROPN _ PRO PRO CONJ V V ADP PROPN _ V ADP DET N _ N N 3;GEN;PRO;SG CONJ _ V V V 1;NOM;PL;PRO CONJ V _ CONJ 1;NOM;PL;PRO V CONJ 1;NOM;PL;PRO V ADP _ _
